Keyphrase,Ground Truth,Score

polynomial time algorithm,feedback vertex set

end of document

experimentation,performance

measurement,performance

end of document

autoimmune,apeced

end of document

aluminium casting,casting

characteristics method,casting

enthalpy method,casting

two phase solidification,convection

end of document

rib feature,feature recognition

end of document

truncation error,singular point

end of document

wireless sensor networks,graph coloring

time division multiple access,tdma

end of document

mashups,web service

end of document

brightness constraint,video segmentation

end of document

reduced service rate,priority queues

m buffers,priority queues

source pooling,priority queues

m buffer,priority queues

end of document

parallel,multicore

algorithm,plane sweep

systems,multicore

parallel algorithm,multicore

challenge,plane sweep

efficiency,rectangle intersection

effect,plane sweep

component,plane sweep

process,plane sweep

scalability,multicore

cluster,multicore

end of document

mass media,communication channels

end of document

classification,pca

end of document

hex o,classification

erp feature extraction,electroencephalography

end of document

reversible change of measure,erlang distribution

end of document

hrtf,surround audio

common acoustical pole and zero,surround audio

hrtf model,surround audio

end of document

e commerce security,internet services

end of document

gals,synchronization

cmos,synchronization

end of document

organizational structures,strategies for production systems design

forecasted order program,strategies for production systems design

end of document

selectors,randomization

deterministic protocols,optimality

deterministic broadcasting,optimality

deterministic wake up,optimality

end of document

end of document

rns,base transformation

end of document

context of use,quality

design for value,value

design for the world,value

end of document

fugu rubripes,teleost

pufferfish,teleost

gpcr receptors,duplicated genes

end of document

nash equilibrium,correlated fading

end of document

curing agent,embedded capacitors

loss factor,embedded capacitors

end of document

stroke order independent,classifier combination

eigenvalues,offline

end of document

end of document

end of document

knowledge representation,software tool

end of document

k d tree,affine invariant

k,affine invariant

end of document

end of document

end of document

end of document

eta long beta normal term,strong sums

end of document

dbms,database

end of document

pseudo dynamic,wrinkling

end of document

polytope,facets of polyhedra

induced clique hole,graph colorings

induced hole,graph colorings

end of document

affine sub model estimation,hybrid systems

hyperplane partitions,clustering

end of document

end of document

artificial intelligence,adaptive systems

end of document

mems,polymer

kretschmann sensor,pdms

end of document

k refinement,strain field measurement

non linear constitutive law identification,digital image correlation

end of document

eulers equations,functional variations

chebyshev polynomials,dirichletneumann operators

end of document

spline curves,voronoi mountain

end of document

text mining,wordnet

lexical knowledge,semantic distance

discotex,novelty

rule novelty,knowledge hierarchy

end of document

algorithms,independence system

theory,independence system

end of document

high order,locally symmetric meshes

galerkin finite element method,integral identities

local estimates,integral identities

end of document

software architecture,design pattern

end of document

end of document

